City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,tannum sands,-23.9504,151.3693,29.3,50,40,4.12,AU,1697850525
249,remire-montjoly,4.9167,-52.2667,28.02,83,0,2.57,GF,1697850574
250,acapulco de juarez,16.8634,-99.8901,26.9,69,40,3.09,MX,1697850489
251,san jose del guaviare,2.5729,-72.6459,23.74,91,100,1.36,CO,1697850576
252,fort mcmurray,56.7268,-111.381,8.08,50,0,2.48,CA,1697850576
253,muisne,0.6,-80.0333,25.28,80,100,3.96,EC,1697850578
254,labrador city,52.9463,-66.9114,7.95,93,100,4.12,CA,1697850578
255,mili,6.0815,171.735,27.93,80,100,6.83,MH,1697850578
256,talnakh,69.4865,88.3972,-0.44,88,100,5.69,RU,1697850579
257,port elizabeth,-33.918,25.5701,17.95,98,100,1.79,ZA,1697850579
258,swan hill,-35.3378,143.5544,22.25,37,99,6.64,AU,1697850579
259,scottburgh,-30.2867,30.7532,20.66,92,24,7.87,ZA,1697850579
260,dunay,42.8803,132.3375,4.25,41,38,9.54,RU,1697850580
261,broken hill,-31.95,141.4333,21.17,36,51,6.69,AU,1697850580
262,tazacorte,28.629,-17.9293,21.54,78,0,2.57,ES,1697850580
263,zheleznodorozhnyy,55.7503,38.0042,3.29,91,100,4.64,RU,1697850580
264,puerto armuelles,8.2833,-82.8667,27.27,72,100,2.24,PA,1697850580
265,kapa'a,22.0752,-159.319,28.99,79,40,8.75,US,1697850581
266,st. john's,47.5649,-52.7093,11.65,92,40,6.69,CA,1697850398
267,albina,5.5,-54.05,26.46,81,8,2.59,SR,1697850581
268,kaffrine,14.1059,-15.5508,26.44,60,22,2.95,SN,1697850581
269,taltal,-25.4,-70.4833,16.27,77,0,4.99,CL,1697850020
270,alice springs,-23.7,133.8833,26.75,24,0,5.14,AU,1697850581
271,hotan,37.0997,79.9269,8.95,17,4,1.63,CN,1697850581
272,margate,51.3813,1.3862,14.61,95,60,1.34,GB,1697850582
273,kamuli,0.9472,33.1197,17.74,99,100,0.87,UG,1697850582
274,kingston,17.997,-76.7936,30.53,82,75,1.54,JM,1697850577
275,mar del plata,-38.0023,-57.5575,14.01,90,0,4.12,AR,1697850360
276,flying fish cove,-10.4217,105.6791,26.82,83,75,4.63,CX,1697850584
277,muravlenko,63.7898,74.523,-2.06,84,18,6.36,RU,1697850325
278,mount pearl,47.5166,-52.7813,11.19,92,1,0.45,CA,1697850585
279,inirida,3.8653,-67.9239,23.7,97,100,0.63,CO,1697850585
280,qamdo,31.1667,97.2333,-0.7,48,40,2.29,CN,1697850585
281,selkirk,50.1436,-96.8845,13.37,88,72,1.34,CA,1697850585
282,perry,37.2506,-83.1999,13.1,92,25,3.44,US,1697850586
283,ixtapa,20.7,-105.2,28.57,79,100,1.54,MX,1697850587
284,yumbe,3.4651,31.2469,18.17,94,87,1.17,UG,1697850587
285,changji,44.0167,87.3167,8.44,49,0,2.0,CN,1697850587
286,pico truncado,-46.7949,-67.9573,8.39,59,55,7.02,AR,1697850587
287,mugia,43.1041,-9.2179,13.28,67,41,7.36,ES,1697850588
288,ar rutbah,33.0381,40.2848,18.82,44,0,2.07,IQ,1697850439
289,chaykovskiy,56.7686,54.1148,1.42,95,60,0.81,RU,1697850557
290,arawa,-6.2132,155.5367,30.19,70,99,1.64,PG,1697850588
291,bumpe,7.8919,-11.9025,23.79,99,100,0.65,SL,1697850588
292,tan-tan,28.438,-11.1032,19.74,78,20,3.84,MA,1697850588
293,kruisfontein,-34.0033,24.7314,16.5,97,100,5.64,ZA,1697850589
294,hami,42.8,93.45,10.59,30,100,1.38,CN,1697850589
295,lys'va,58.1086,57.8053,1.59,99,100,1.67,RU,1697850589
296,orkney,-26.9802,26.6727,20.48,34,0,4.96,ZA,1697850589
297,chardara,41.2547,67.9692,17.8,50,100,1.53,KZ,1697850589
298,upington,-28.4478,21.2561,19.28,40,99,4.66,ZA,1697850590
299,harper,4.375,-7.7169,24.75,91,70,2.95,LR,1697850590
300,matoury,4.8483,-52.3317,27.98,83,0,2.57,GF,1697850590
301,poso,-1.3959,120.7524,29.57,57,99,0.54,ID,1697850590
